AccountId1,AccountId2,MatchPercentage,RoleCount
0011J00001OXdboQAD,001Nq00000XCNrGIAX,1,1
0011J00001OXdgaQAD,0013c0000213DPnAAM,1,1
0011J00001OXdefQAD,001Nq00000XCNrIIAX,1,2
0011J00001OXdeMQAT,001Nq00000XCNrHIAX,1,1
0011J00001OXdevQAD,001Nq00000XCNrJIAX,1,1
0011J00001OXdfRQAT,001Nq00000XCNrKIAX,1,1
0011J00001OXdgaQAD,001Nq00000as5PUIAY,1,1
0011J00001OXdgkQAD,001Nq00000XCNrMIAX,1,1
0011J00001OXdlnQAD,001Nq00000XCNrPIAX,1,6
0011J00001OXdhSQAT,001Nq00000XCNrNIAX,1,5
0011J00001OXdi9QAD,001Nq00000XCNrOIAX,1,2
0011J00001OXdmfQAD,001Nq00000XCNrQIAX,1,1
0011J00001OXdsaQAD,0011J00001EAkzDQAT,0.9299999999999999,1
0011J00001OXdsaQAD,0011J00001OXfmrQAD,0.97,1
0011J00001OXduPQAT,0011J00001OXda6QAD,0.9279999999999999,1
0011J00001OXdnZQAT,001Nq00000XCNrTIAX,1,1
0011J00001OXdsMQAT,0013c000020yefFAAQ,1,1
0011J00001OXduPQAT,0011J00001OnIkNQAV,0.944,1
0011J00001OXdrUQAT,001Nq00000XCNrVIAX,1,2
0011J00001OXdqKQAT,001Nq00000XCNrUIAX,1,4
0011J00001OXdysQAD,0011J00001OmnWKQAZ,0.88,4
0011J00001OXdsMQAT,001Nq00000as5PXIAY,1,1
0011J00001OXdysQAD,0013c000020vVNyAAM,0.88,4
0011J00001OXe0AQAT,0011J00001OXe2OQAT,1,64
0011J00001OXe0AQAT,0011J00001OXe5qQAD,1,64
0011J00001OXduPQAT,001Nq00000XCNraIAH,1,1
0011J00001OXdxZQAT,0013c000020yegFAAQ,1,1
0011J00001OXe0AQAT,0013c00001yU4eEAAS,1,64
0011J00001OXdxLQAT,001Nq00000XCNrcIAH,1,1
0011J00001OXe0AQAT,0013c00001yWDjMAAW,1,64
0011J00001OXdrpQAD,001Nq00000XCNrWIAX,1,1
0011J00001OXdzwQAD,001Nq00000XCNrhIAH,1,2
0011J00001OXe0AQAT,0013c000020vsccAAA,1,64
0011J00001OXduPQAT,001Nq00000as5PTIAY,0.9279999999999999,1
0011J00001OXe0AQAT,0013c000020yejtAAA,1,64
0011J00001OXdzoQAD,001Nq00000XCNrgIAH,1,0
0011J00001OXdzYQAT,001Nq00000XCNrfIAH,1,1
0011J00001OXe2OQAT,0011J00001OXe0AQAT,1,58
0011J00001OXe2OQAT,0011J00001OXe5qQAD,1,58
